AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEMV022,14.65,2019-04-01 00:00:00+01:00,1
STA.DE_DEMV022,14.8,2019-04-01 01:00:00+01:00,1
STA.DE_DEMV022,15.38,2019-04-01 02:00:00+01:00,1
STA.DE_DEMV022,20.02,2019-04-01 04:00:00+01:00,1
STA.DE_DEMV022,30.26,2019-04-01 07:00:00+01:00,1
STA.DE_DEMV022,14.82,2019-04-01 10:00:00+01:00,1
STA.DE_DEMV022,15.27,2019-04-01 12:00:00+01:00,1
STA.DE_DEMV022,12.13,2019-04-01 13:00:00+01:00,1
STA.DE_DEMV022,10.44,2019-04-01 14:00:00+01:00,1
STA.DE_DEMV022,11.65,2019-04-01 15:00:00+01:00,1
STA.DE_DEMV022,9.57,2019-04-01 16:00:00+01:00,1
STA.DE_DEMV022,12.72,2019-04-01 17:00:00+01:00,1
STA.DE_DEMV022,11.48,2019-04-01 18:00:00+01:00,1
STA.DE_DEMV022,13.92,2019-04-01 19:00:00+01:00,1
STA.DE_DEMV022,19.6,2019-04-01 20:00:00+01:00,1
STA.DE_DEMV022,14.66,2019-04-01 22:00:00+01:00,1
STA.DE_DEMV022,18.44,2019-04-02 00:00:00+01:00,1
STA.DE_DEMV022,17.52,2019-04-02 01:00:00+01:00,1
STA.DE_DEMV022,19.37,2019-04-02 02:00:00+01:00,1
STA.DE_DEMV022,20.23,2019-04-02 05:00:00+01:00,1
STA.DE_DEMV022,25.73,2019-04-02 07:00:00+01:00,1
STA.DE_DEMV022,24.3,2019-04-02 11:00:00+01:00,1
STA.DE_DEMV022,26.25,2019-04-02 12:00:00+01:00,1
STA.DE_DEMV022,29.26,2019-04-02 13:00:00+01:00,1
STA.DE_DEMV022,31.98,2019-04-02 15:00:00+01:00,1
STA.DE_DEMV022,30.69,2019-04-02 17:00:00+01:00,1
STA.DE_DEMV022,48.38,2019-04-02 21:00:00+01:00,1
STA.DE_DEMV022,42.81,2019-04-03 01:00:00+01:00,1
STA.DE_DEMV022,41.18,2019-04-03 02:00:00+01:00,1
STA.DE_DEMV022,48.77,2019-04-03 05:00:00+01:00,1
STA.DE_DEMV022,51.28,2019-04-03 07:00:00+01:00,1
STA.DE_DEMV022,53.74,2019-04-03 09:00:00+01:00,1
STA.DE_DEMV022,44.77,2019-04-03 11:00:00+01:00,1
STA.DE_DEMV022,43.75,2019-04-03 12:00:00+01:00,1
STA.DE_DEMV022,50.09,2019-04-03 13:00:00+01:00,1
STA.DE_DEMV022,66.03,2019-04-03 19:00:00+01:00,1
STA.DE_DEMV022,83.84,2019-04-03 20:00:00+01:00,1
STA.DE_DEMV022,72.01,2019-04-03 21:00:00+01:00,1
STA.DE_DEMV022,75.67,2019-04-03 22:00:00+01:00,1
STA.DE_DEMV022,71.9,2019-04-04 02:00:00+01:00,1
STA.DE_DEMV022,61.77,2019-04-04 03:00:00+01:00,1
STA.DE_DEMV022,60.49,2019-04-04 04:00:00+01:00,1
STA.DE_DEMV022,60.5,2019-04-04 05:00:00+01:00,1
STA.DE_DEMV022,63.95,2019-04-04 07:00:00+01:00,1
STA.DE_DEMV022,60.52,2019-04-04 08:00:00+01:00,1
STA.DE_DEMV022,64.15,2019-04-04 09:00:00+01:00,1
STA.DE_DEMV022,63.5,2019-04-04 10:00:00+01:00,1
STA.DE_DEMV022,60.25,2019-04-04 11:00:00+01:00,1
STA.DE_DEMV022,66.73,2019-04-05 04:00:00+01:00,1
STA.DE_DEMV022,74.26,2019-04-05 05:00:00+01:00,1
STA.DE_DEMV022,79.53,2019-04-05 06:00:00+01:00,1
STA.DE_DEMV022,73.29,2019-04-05 09:00:00+01:00,1
STA.DE_DEMV022,72.51,2019-04-05 10:00:00+01:00,1
STA.DE_DEMV022,67.01,2019-04-05 11:00:00+01:00,1
STA.DE_DEMV022,60.38,2019-04-05 13:00:00+01:00,1
STA.DE_DEMV022,55.78,2019-04-05 14:00:00+01:00,1
STA.DE_DEMV022,55.42,2019-04-05 15:00:00+01:00,1
STA.DE_DEMV022,55.0,2019-04-05 16:00:00+01:00,1
STA.DE_DEMV022,68.92,2019-04-05 18:00:00+01:00,1
STA.DE_DEMV022,85.93,2019-04-05 19:00:00+01:00,1
STA.DE_DEMV022,80.37,2019-04-05 23:00:00+01:00,1
STA.DE_DEMV022,76.9,2019-04-06 03:00:00+01:00,1
STA.DE_DEMV022,70.09,2019-04-06 05:00:00+01:00,1
STA.DE_DEMV022,64.31,2019-04-06 06:00:00+01:00,1
STA.DE_DEMV022,61.75,2019-04-06 07:00:00+01:00,1
STA.DE_DEMV022,67.89,2019-04-06 09:00:00+01:00,1
STA.DE_DEMV022,67.81,2019-04-06 10:00:00+01:00,1
STA.DE_DEMV022,49.96,2019-04-06 13:00:00+01:00,1
STA.DE_DEMV022,51.14,2019-04-06 14:00:00+01:00,1
STA.DE_DEMV022,64.92,2019-04-06 16:00:00+01:00,1
STA.DE_DEMV022,66.98,2019-04-06 17:00:00+01:00,1
STA.DE_DEMV022,66.84,2019-04-06 18:00:00+01:00,1
STA.DE_DEMV022,65.84,2019-04-06 19:00:00+01:00,1
STA.DE_DEMV022,63.14,2019-04-06 20:00:00+01:00,1
STA.DE_DEMV022,59.46,2019-04-06 23:00:00+01:00,1
STA.DE_DEMV022,58.32,2019-04-07 00:00:00+01:00,1
STA.DE_DEMV022,60.89,2019-04-07 01:00:00+01:00,1
STA.DE_DEMV022,62.46,2019-04-07 05:00:00+01:00,1
STA.DE_DEMV022,61.68,2019-04-07 06:00:00+01:00,1
STA.DE_DEMV022,60.13,2019-04-07 08:00:00+01:00,1
STA.DE_DEMV022,58.18,2019-04-07 09:00:00+01:00,1
STA.DE_DEMV022,52.78,2019-04-07 11:00:00+01:00,1
STA.DE_DEMV022,47.77,2019-04-07 18:00:00+01:00,1
STA.DE_DEMV022,50.59,2019-04-07 19:00:00+01:00,1
STA.DE_DEMV022,58.13,2019-04-07 22:00:00+01:00,1
STA.DE_DEMV022,66.64,2019-04-08 04:00:00+01:00,1
STA.DE_DEMV022,78.43,2019-04-08 05:00:00+01:00,1
STA.DE_DEMV022,52.5,2019-04-08 09:00:00+01:00,1
STA.DE_DEMV022,56.42,2019-04-08 10:00:00+01:00,1
STA.DE_DEMV022,41.18,2019-04-08 12:00:00+01:00,1
STA.DE_DEMV022,55.77,2019-04-08 13:00:00+01:00,1
STA.DE_DEMV022,42.14,2019-04-08 14:00:00+01:00,1
STA.DE_DEMV022,17.21,2019-04-08 20:00:00+01:00,1
STA.DE_DEMV022,17.53,2019-04-08 21:00:00+01:00,1
STA.DE_DEMV022,13.41,2019-04-08 22:00:00+01:00,1
STA.DE_DEMV022,15.66,2019-04-08 23:00:00+01:00,1
STA.DE_DEMV022,20.84,2019-04-09 00:00:00+01:00,1
STA.DE_DEMV022,15.08,2019-04-09 01:00:00+01:00,1
STA.DE_DEMV022,14.66,2019-04-09 02:00:00+01:00,1
STA.DE_DEMV022,22.57,2019-04-09 05:00:00+01:00,1
STA.DE_DEMV022,24.02,2019-04-09 07:00:00+01:00,1
STA.DE_DEMV022,23.48,2019-04-09 08:00:00+01:00,1
STA.DE_DEMV022,25.16,2019-04-09 09:00:00+01:00,1
STA.DE_DEMV022,22.1,2019-04-09 12:00:00+01:00,1
STA.DE_DEMV022,17.53,2019-04-09 14:00:00+01:00,1
STA.DE_DEMV022,16.16,2019-04-09 16:00:00+01:00,1
STA.DE_DEMV022,12.76,2019-04-09 17:00:00+01:00,1
STA.DE_DEMV022,13.66,2019-04-09 18:00:00+01:00,1
STA.DE_DEMV022,14.22,2019-04-09 19:00:00+01:00,1
STA.DE_DEMV022,13.75,2019-04-09 20:00:00+01:00,1
STA.DE_DEMV022,15.09,2019-04-09 22:00:00+01:00,1
STA.DE_DEMV022,16.14,2019-04-10 00:00:00+01:00,1
STA.DE_DEMV022,16.43,2019-04-10 01:00:00+01:00,1
STA.DE_DEMV022,17.55,2019-04-10 03:00:00+01:00,1
STA.DE_DEMV022,28.73,2019-04-10 06:00:00+01:00,1
STA.DE_DEMV022,32.88,2019-04-10 07:00:00+01:00,1
STA.DE_DEMV022,18.16,2019-04-10 08:00:00+01:00,1
STA.DE_DEMV022,16.5,2019-04-10 10:00:00+01:00,1
STA.DE_DEMV022,16.1,2019-04-10 11:00:00+01:00,1
STA.DE_DEMV022,21.37,2019-04-10 12:00:00+01:00,1
STA.DE_DEMV022,19.6,2019-04-10 13:00:00+01:00,1
STA.DE_DEMV022,17.5,2019-04-10 14:00:00+01:00,1
STA.DE_DEMV022,15.51,2019-04-10 15:00:00+01:00,1
STA.DE_DEMV022,17.1,2019-04-10 16:00:00+01:00,1
STA.DE_DEMV022,15.26,2019-04-10 18:00:00+01:00,1
STA.DE_DEMV022,12.34,2019-04-10 20:00:00+01:00,1
STA.DE_DEMV022,11.05,2019-04-10 21:00:00+01:00,1
STA.DE_DEMV022,9.99,2019-04-10 22:00:00+01:00,1
STA.DE_DEMV022,17.55,2019-04-10 23:00:00+01:00,1
STA.DE_DEMV022,10.84,2019-04-11 01:00:00+01:00,1
