AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DENW200,10.97899999,2019-04-01 00:00:00+01:00,1
STA.DE_DENW200,10.257,2019-04-01 01:00:00+01:00,1
STA.DE_DENW200,10.42099999,2019-04-01 02:00:00+01:00,1
STA.DE_DENW200,11.802,2019-04-01 03:00:00+01:00,1
STA.DE_DENW200,13.512,2019-04-01 04:00:00+01:00,1
STA.DE_DENW200,13.385,2019-04-01 05:00:00+01:00,1
STA.DE_DENW200,16.783,2019-04-01 06:00:00+01:00,1
STA.DE_DENW200,16.475,2019-04-01 07:00:00+01:00,1
STA.DE_DENW200,14.387,2019-04-01 08:00:00+01:00,1
STA.DE_DENW200,13.337,2019-04-01 09:00:00+01:00,1
STA.DE_DENW200,14.25099999,2019-04-01 10:00:00+01:00,1
STA.DE_DENW200,12.77699999,2019-04-01 11:00:00+01:00,1
STA.DE_DENW200,14.212,2019-04-01 12:00:00+01:00,1
STA.DE_DENW200,16.75,2019-04-01 13:00:00+01:00,1
STA.DE_DENW200,18.079,2019-04-01 14:00:00+01:00,1
STA.DE_DENW200,18.30999999,2019-04-01 15:00:00+01:00,1
STA.DE_DENW200,19.863,2019-04-01 16:00:00+01:00,1
STA.DE_DENW200,15.22,2019-04-01 17:00:00+01:00,1
STA.DE_DENW200,19.36499999,2019-04-01 18:00:00+01:00,1
STA.DE_DENW200,21.376,2019-04-01 19:00:00+01:00,1
STA.DE_DENW200,25.78999999,2019-04-01 20:00:00+01:00,1
STA.DE_DENW200,26.53699999,2019-04-01 21:00:00+01:00,1
STA.DE_DENW200,25.36499999,2019-04-01 22:00:00+01:00,1
STA.DE_DENW200,24.31899999,2019-04-01 23:00:00+01:00,1
STA.DE_DENW200,26.41199999,2019-04-02 00:00:00+01:00,1
STA.DE_DENW200,21.73199999,2019-04-02 01:00:00+01:00,1
STA.DE_DENW200,21.00499999,2019-04-02 02:00:00+01:00,1
STA.DE_DENW200,22.484,2019-04-02 03:00:00+01:00,1
STA.DE_DENW200,26.54799999,2019-04-02 04:00:00+01:00,1
STA.DE_DENW200,29.89399999,2019-04-02 05:00:00+01:00,1
STA.DE_DENW200,31.739,2019-04-02 06:00:00+01:00,1
