AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBE063,15.42,2020-04-01 00:00:00+01:00,1
STA.DE_DEBE063,12.61999999,2020-04-01 01:00:00+01:00,1
STA.DE_DEBE063,10.60999999,2020-04-01 02:00:00+01:00,1
STA.DE_DEBE063,9.96,2020-04-01 03:00:00+01:00,1
STA.DE_DEBE063,11.94999999,2020-04-01 04:00:00+01:00,1
STA.DE_DEBE063,19.09,2020-04-01 05:00:00+01:00,1
STA.DE_DEBE063,29.28999999,2020-04-01 06:00:00+01:00,1
STA.DE_DEBE063,37.67,2020-04-01 07:00:00+01:00,1
STA.DE_DEBE063,27.96,2020-04-01 08:00:00+01:00,1
STA.DE_DEBE063,18.62999999,2020-04-01 09:00:00+01:00,1
STA.DE_DEBE063,20.85,2020-04-01 10:00:00+01:00,1
STA.DE_DEBE063,20.57999999,2020-04-01 11:00:00+01:00,1
STA.DE_DEBE063,19.37,2020-04-01 12:00:00+01:00,1
STA.DE_DEBE063,20.05999999,2020-04-01 13:00:00+01:00,1
STA.DE_DEBE063,22.10999999,2020-04-01 14:00:00+01:00,1
STA.DE_DEBE063,21.8,2020-04-01 15:00:00+01:00,1
STA.DE_DEBE063,13.66,2020-04-01 16:00:00+01:00,1
STA.DE_DEBE063,11.55,2020-04-01 17:00:00+01:00,1
STA.DE_DEBE063,11.88,2020-04-01 18:00:00+01:00,1
STA.DE_DEBE063,12.41,2020-04-01 19:00:00+01:00,1
STA.DE_DEBE063,10.64,2020-04-01 20:00:00+01:00,1
STA.DE_DEBE063,11.32,2020-04-01 21:00:00+01:00,1
STA.DE_DEBE063,14.76,2020-04-01 22:00:00+01:00,1
STA.DE_DEBE063,11.09,2020-04-01 23:00:00+01:00,1
STA.DE_DEBE063,11.52,2020-04-02 00:00:00+01:00,1
STA.DE_DEBE063,12.32,2020-04-02 01:00:00+01:00,1
STA.DE_DEBE063,13.08,2020-04-02 02:00:00+01:00,1
STA.DE_DEBE063,13.82,2020-04-02 03:00:00+01:00,1
STA.DE_DEBE063,14.89,2020-04-02 04:00:00+01:00,1
STA.DE_DEBE063,25.01,2020-04-02 05:00:00+01:00,1
STA.DE_DEBE063,34.38,2020-04-02 06:00:00+01:00,1
STA.DE_DEBE063,36.17,2020-04-02 07:00:00+01:00,1
STA.DE_DEBE063,27.16,2020-04-02 08:00:00+01:00,1
STA.DE_DEBE063,23.60999999,2020-04-02 09:00:00+01:00,1
STA.DE_DEBE063,22.19,2020-04-02 10:00:00+01:00,1
STA.DE_DEBE063,17.30999999,2020-04-02 11:00:00+01:00,1
STA.DE_DEBE063,19.14,2020-04-02 12:00:00+01:00,1
STA.DE_DEBE063,22.69999999,2020-04-02 13:00:00+01:00,1
STA.DE_DEBE063,17.32,2020-04-02 14:00:00+01:00,1
STA.DE_DEBE063,19.17,2020-04-02 15:00:00+01:00,1
STA.DE_DEBE063,18.37999999,2020-04-02 16:00:00+01:00,1
STA.DE_DEBE063,20.32999999,2020-04-02 17:00:00+01:00,1
STA.DE_DEBE063,30.12999999,2020-04-02 18:00:00+01:00,1
STA.DE_DEBE063,35.18,2020-04-02 19:00:00+01:00,1
STA.DE_DEBE063,42.7,2020-04-02 20:00:00+01:00,1
STA.DE_DEBE063,40.7,2020-04-02 21:00:00+01:00,1
STA.DE_DEBE063,36.10999999,2020-04-02 22:00:00+01:00,1
STA.DE_DEBE063,28.71,2020-04-02 23:00:00+01:00,1
STA.DE_DEBE063,27.21,2020-04-03 00:00:00+01:00,1
