AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBY120,7.06,2022-04-01 00:00:00+01:00,1
STA.DE_DEBY120,7.0,2022-04-01 01:00:00+01:00,1
STA.DE_DEBY120,8.94,2022-04-01 02:00:00+01:00,1
STA.DE_DEBY120,15.25,2022-04-01 03:00:00+01:00,1
STA.DE_DEBY120,20.1,2022-04-01 04:00:00+01:00,1
STA.DE_DEBY120,11.73,2022-04-01 05:00:00+01:00,1
STA.DE_DEBY120,19.73,2022-04-01 06:00:00+01:00,1
STA.DE_DEBY120,13.07,2022-04-01 07:00:00+01:00,1
STA.DE_DEBY120,15.67,2022-04-01 08:00:00+01:00,1
STA.DE_DEBY120,12.7,2022-04-01 09:00:00+01:00,1
STA.DE_DEBY120,10.19,2022-04-01 10:00:00+01:00,1
STA.DE_DEBY120,9.08,2022-04-01 11:00:00+01:00,1
STA.DE_DEBY120,14.28,2022-04-01 12:00:00+01:00,1
STA.DE_DEBY120,15.92,2022-04-01 13:00:00+01:00,1
STA.DE_DEBY120,16.87,2022-04-01 14:00:00+01:00,1
STA.DE_DEBY120,18.08,2022-04-01 15:00:00+01:00,1
STA.DE_DEBY120,13.0,2022-04-01 16:00:00+01:00,1
STA.DE_DEBY120,14.53,2022-04-01 17:00:00+01:00,1
STA.DE_DEBY120,14.13,2022-04-01 18:00:00+01:00,1
STA.DE_DEBY120,13.59,2022-04-01 19:00:00+01:00,1
STA.DE_DEBY120,18.61,2022-04-01 20:00:00+01:00,1
STA.DE_DEBY120,18.88,2022-04-01 21:00:00+01:00,1
STA.DE_DEBY120,22.61,2022-04-02 00:00:00+01:00,1
STA.DE_DEBY120,27.14,2022-04-02 01:00:00+01:00,1
STA.DE_DEBY120,21.51,2022-04-01 22:00:00+01:00,1
STA.DE_DEBY120,21.31,2022-04-01 23:00:00+01:00,1
STA.DE_DEBY120,29.81,2022-04-02 02:00:00+01:00,1
STA.DE_DEBY120,32.38,2022-04-02 03:00:00+01:00,1
STA.DE_DEBY120,29.43,2022-04-02 04:00:00+01:00,1
STA.DE_DEBY120,20.73,2022-04-02 05:00:00+01:00,1
STA.DE_DEBY120,16.43,2022-04-02 06:00:00+01:00,1
STA.DE_DEBY120,20.7,2022-04-02 07:00:00+01:00,1
STA.DE_DEBY120,14.73,2022-04-02 08:00:00+01:00,1
STA.DE_DEBY120,7.79,2022-04-02 09:00:00+01:00,1
STA.DE_DEBY120,7.38,2022-04-02 10:00:00+01:00,1
STA.DE_DEBY120,15.52,2022-04-02 11:00:00+01:00,1
STA.DE_DEBY120,9.87,2022-04-02 12:00:00+01:00,1
STA.DE_DEBY120,8.7,2022-04-02 13:00:00+01:00,1
STA.DE_DEBY120,10.26,2022-04-02 14:00:00+01:00,1
STA.DE_DEBY120,11.92,2022-04-02 15:00:00+01:00,1
STA.DE_DEBY120,16.15,2022-04-02 16:00:00+01:00,1
STA.DE_DEBY120,33.4,2022-04-02 17:00:00+01:00,1
STA.DE_DEBY120,13.32,2022-04-02 18:00:00+01:00,1
STA.DE_DEBY120,4.4,2022-04-02 19:00:00+01:00,1
STA.DE_DEBY120,3.46,2022-04-02 20:00:00+01:00,1
STA.DE_DEBY120,14.88,2022-04-02 21:00:00+01:00,1
STA.DE_DEBY120,20.69,2022-04-02 22:00:00+01:00,1
STA.DE_DEBY120,12.92,2022-04-02 23:00:00+01:00,1
STA.DE_DEBY120,6.21,2022-04-03 00:00:00+01:00,1
STA.DE_DEBY120,9.39,2022-04-03 01:00:00+01:00,1
STA.DE_DEBY120,12.41,2022-04-03 02:00:00+01:00,1
STA.DE_DEBY120,11.25,2022-04-03 03:00:00+01:00,1
STA.DE_DEBY120,10.29,2022-04-03 04:00:00+01:00,1
