AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEMV027,12.93,2022-04-01 00:00:00+01:00,1
STA.DE_DEMV027,14.17,2022-04-01 01:00:00+01:00,1
STA.DE_DEMV027,14.32,2022-04-01 02:00:00+01:00,1
STA.DE_DEMV027,13.07,2022-04-01 03:00:00+01:00,1
STA.DE_DEMV027,12.76,2022-04-01 04:00:00+01:00,1
STA.DE_DEMV027,13.13,2022-04-01 05:00:00+01:00,1
STA.DE_DEMV027,16.75,2022-04-01 06:00:00+01:00,1
STA.DE_DEMV027,21.67,2022-04-01 07:00:00+01:00,1
STA.DE_DEMV027,29.67,2022-04-01 08:00:00+01:00,1
STA.DE_DEMV027,26.05,2022-04-01 09:00:00+01:00,1
STA.DE_DEMV027,38.35,2022-04-01 10:00:00+01:00,1
STA.DE_DEMV027,39.01,2022-04-01 11:00:00+01:00,1
STA.DE_DEMV027,40.78,2022-04-01 12:00:00+01:00,1
STA.DE_DEMV027,37.63,2022-04-01 13:00:00+01:00,1
STA.DE_DEMV027,39.96,2022-04-01 14:00:00+01:00,1
STA.DE_DEMV027,37.83,2022-04-01 15:00:00+01:00,1
STA.DE_DEMV027,31.4,2022-04-01 16:00:00+01:00,1
STA.DE_DEMV027,33.73,2022-04-01 17:00:00+01:00,1
STA.DE_DEMV027,34.91,2022-04-01 18:00:00+01:00,1
STA.DE_DEMV027,26.43,2022-04-01 19:00:00+01:00,1
STA.DE_DEMV027,22.1,2022-04-01 20:00:00+01:00,1
STA.DE_DEMV027,15.98,2022-04-02 00:00:00+01:00,1
STA.DE_DEMV027,9.71,2022-04-02 01:00:00+01:00,1
STA.DE_DEMV027,15.87,2022-04-01 21:00:00+01:00,1
STA.DE_DEMV027,13.12,2022-04-01 22:00:00+01:00,1
STA.DE_DEMV027,11.3,2022-04-01 23:00:00+01:00,1
STA.DE_DEMV027,7.56,2022-04-02 02:00:00+01:00,1
STA.DE_DEMV027,7.04,2022-04-02 03:00:00+01:00,1
STA.DE_DEMV027,6.84,2022-04-02 04:00:00+01:00,1
STA.DE_DEMV027,6.74,2022-04-02 05:00:00+01:00,1
