AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DENW065,8.361,2022-04-01 00:00:00+01:00,1
STA.DE_DENW065,7.375,2022-04-01 01:00:00+01:00,1
STA.DE_DENW065,6.38,2022-04-01 02:00:00+01:00,1
STA.DE_DENW065,7.218,2022-04-01 03:00:00+01:00,1
STA.DE_DENW065,9.181,2022-04-01 04:00:00+01:00,1
STA.DE_DENW065,8.462,2022-04-01 05:00:00+01:00,1
STA.DE_DENW065,7.451,2022-04-01 06:00:00+01:00,1
STA.DE_DENW065,6.24,2022-04-01 07:00:00+01:00,1
STA.DE_DENW065,5.275,2022-04-01 08:00:00+01:00,1
STA.DE_DENW065,6.109,2022-04-01 09:00:00+01:00,1
STA.DE_DENW065,6.154,2022-04-01 10:00:00+01:00,1
STA.DE_DENW065,6.536,2022-04-01 11:00:00+01:00,1
STA.DE_DENW065,6.635,2022-04-01 12:00:00+01:00,1
STA.DE_DENW065,6.697,2022-04-01 13:00:00+01:00,1
STA.DE_DENW065,7.285,2022-04-01 14:00:00+01:00,1
STA.DE_DENW065,7.367,2022-04-01 15:00:00+01:00,1
STA.DE_DENW065,6.291,2022-04-01 16:00:00+01:00,1
STA.DE_DENW065,5.024,2022-04-01 17:00:00+01:00,1
STA.DE_DENW065,5.569,2022-04-01 18:00:00+01:00,1
STA.DE_DENW065,5.087,2022-04-01 19:00:00+01:00,1
STA.DE_DENW065,4.505,2022-04-01 20:00:00+01:00,1
STA.DE_DENW065,4.574,2022-04-02 00:00:00+01:00,1
STA.DE_DENW065,4.975,2022-04-02 01:00:00+01:00,1
STA.DE_DENW065,4.216,2022-04-01 21:00:00+01:00,1
STA.DE_DENW065,3.844,2022-04-01 22:00:00+01:00,1
STA.DE_DENW065,4.207,2022-04-01 23:00:00+01:00,1
STA.DE_DENW065,4.512,2022-04-02 02:00:00+01:00,1
STA.DE_DENW065,3.738,2022-04-02 03:00:00+01:00,1
STA.DE_DENW065,4.26,2022-04-02 04:00:00+01:00,1
STA.DE_DENW065,3.916,2022-04-02 05:00:00+01:00,1
STA.DE_DENW065,4.363,2022-04-02 06:00:00+01:00,1
STA.DE_DENW065,6.214,2022-04-02 07:00:00+01:00,1
STA.DE_DENW065,6.185,2022-04-02 08:00:00+01:00,1
STA.DE_DENW065,6.5,2022-04-02 09:00:00+01:00,1
STA.DE_DENW065,6.283,2022-04-02 10:00:00+01:00,1
STA.DE_DENW065,5.933,2022-04-02 11:00:00+01:00,1
STA.DE_DENW065,6.58,2022-04-02 12:00:00+01:00,1
STA.DE_DENW065,7.727,2022-04-02 13:00:00+01:00,1
STA.DE_DENW065,7.047,2022-04-02 14:00:00+01:00,1
STA.DE_DENW065,6.327,2022-04-02 15:00:00+01:00,1
STA.DE_DENW065,6.291,2022-04-02 16:00:00+01:00,1
STA.DE_DENW065,6.2,2022-04-02 17:00:00+01:00,1
STA.DE_DENW065,5.729,2022-04-02 18:00:00+01:00,1
STA.DE_DENW065,5.06,2022-04-02 19:00:00+01:00,1
STA.DE_DENW065,5.079,2022-04-02 20:00:00+01:00,1
STA.DE_DENW065,5.207,2022-04-02 21:00:00+01:00,1
STA.DE_DENW065,5.396,2022-04-02 22:00:00+01:00,1
STA.DE_DENW065,6.219,2022-04-02 23:00:00+01:00,1
STA.DE_DENW065,6.852,2022-04-03 00:00:00+01:00,1
STA.DE_DENW065,6.777,2022-04-03 01:00:00+01:00,1
STA.DE_DENW065,6.965,2022-04-03 02:00:00+01:00,1
STA.DE_DENW065,6.506,2022-04-03 03:00:00+01:00,1
STA.DE_DENW065,5.491,2022-04-03 04:00:00+01:00,1
STA.DE_DENW065,5.129,2022-04-03 05:00:00+01:00,1
STA.DE_DENW065,4.652,2022-04-03 06:00:00+01:00,1
STA.DE_DENW065,4.216,2022-04-03 07:00:00+01:00,1
STA.DE_DENW065,5.396,2022-04-03 08:00:00+01:00,1
STA.DE_DENW065,5.11,2022-04-03 09:00:00+01:00,1
STA.DE_DENW065,5.64,2022-04-03 10:00:00+01:00,1
STA.DE_DENW065,5.21,2022-04-03 11:00:00+01:00,1
STA.DE_DENW065,6.344,2022-04-03 12:00:00+01:00,1
STA.DE_DENW065,6.92,2022-04-03 13:00:00+01:00,1
STA.DE_DENW065,6.733,2022-04-03 14:00:00+01:00,1
STA.DE_DENW065,6.61,2022-04-03 15:00:00+01:00,1
STA.DE_DENW065,5.211,2022-04-03 16:00:00+01:00,1
STA.DE_DENW065,6.11,2022-04-03 17:00:00+01:00,1
STA.DE_DENW065,7.762,2022-04-03 18:00:00+01:00,1
STA.DE_DENW065,10.327,2022-04-03 19:00:00+01:00,1
STA.DE_DENW065,8.692,2022-04-03 20:00:00+01:00,1
STA.DE_DENW065,8.786,2022-04-03 21:00:00+01:00,1
STA.DE_DENW065,10.09,2022-04-03 22:00:00+01:00,1
STA.DE_DENW065,12.275,2022-04-03 23:00:00+01:00,1
STA.DE_DENW065,15.163,2022-04-04 00:00:00+01:00,1
STA.DE_DENW065,16.097,2022-04-04 01:00:00+01:00,1
STA.DE_DENW065,15.798,2022-04-04 02:00:00+01:00,1
STA.DE_DENW065,15.79,2022-04-04 03:00:00+01:00,1
STA.DE_DENW065,14.767,2022-04-04 04:00:00+01:00,1
STA.DE_DENW065,14.15,2022-04-04 05:00:00+01:00,1
STA.DE_DENW065,12.575,2022-04-04 06:00:00+01:00,1
STA.DE_DENW065,10.822,2022-04-04 07:00:00+01:00,1
STA.DE_DENW065,9.909,2022-04-04 08:00:00+01:00,1
STA.DE_DENW065,10.041,2022-04-04 09:00:00+01:00,1
STA.DE_DENW065,9.336,2022-04-04 10:00:00+01:00,1
STA.DE_DENW065,9.549,2022-04-04 11:00:00+01:00,1
STA.DE_DENW065,9.423,2022-04-04 12:00:00+01:00,1
STA.DE_DENW065,9.241,2022-04-04 13:00:00+01:00,1
STA.DE_DENW065,7.547,2022-04-04 14:00:00+01:00,1
STA.DE_DENW065,6.336,2022-04-04 15:00:00+01:00,1
STA.DE_DENW065,4.948,2022-04-04 16:00:00+01:00,1
STA.DE_DENW065,3.087,2022-04-04 17:00:00+01:00,1
STA.DE_DENW065,2.781,2022-04-04 18:00:00+01:00,1
STA.DE_DENW065,2.763,2022-04-04 19:00:00+01:00,1
STA.DE_DENW065,2.301,2022-04-04 20:00:00+01:00,1
