AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBY089,7.58,2022-04-01 00:00:00+01:00,1
STA.DE_DEBY089,4.82,2022-04-01 01:00:00+01:00,1
STA.DE_DEBY089,3.21,2022-04-01 02:00:00+01:00,1
STA.DE_DEBY089,3.6,2022-04-01 03:00:00+01:00,1
STA.DE_DEBY089,2.38,2022-04-01 04:00:00+01:00,1
STA.DE_DEBY089,1.86,2022-04-01 05:00:00+01:00,1
STA.DE_DEBY089,1.34,2022-04-01 06:00:00+01:00,1
STA.DE_DEBY089,1.13,2022-04-01 07:00:00+01:00,1
STA.DE_DEBY089,0.9,2022-04-01 08:00:00+01:00,1
STA.DE_DEBY089,0.75,2022-04-01 09:00:00+01:00,1
STA.DE_DEBY089,0.69,2022-04-01 10:00:00+01:00,1
STA.DE_DEBY089,0.73,2022-04-01 11:00:00+01:00,1
STA.DE_DEBY089,0.76,2022-04-01 12:00:00+01:00,1
STA.DE_DEBY089,0.85,2022-04-01 13:00:00+01:00,1
STA.DE_DEBY089,0.97,2022-04-01 14:00:00+01:00,1
STA.DE_DEBY089,1.0,2022-04-01 15:00:00+01:00,1
STA.DE_DEBY089,1.15,2022-04-01 16:00:00+01:00,1
STA.DE_DEBY089,1.44,2022-04-01 17:00:00+01:00,1
STA.DE_DEBY089,1.5,2022-04-01 18:00:00+01:00,1
STA.DE_DEBY089,2.22,2022-04-01 19:00:00+01:00,1
STA.DE_DEBY089,3.29,2022-04-01 20:00:00+01:00,1
STA.DE_DEBY089,3.86,2022-04-01 21:00:00+01:00,1
STA.DE_DEBY089,5.37,2022-04-02 00:00:00+01:00,1
STA.DE_DEBY089,5.06,2022-04-02 01:00:00+01:00,1
STA.DE_DEBY089,4.03,2022-04-01 22:00:00+01:00,1
STA.DE_DEBY089,4.79,2022-04-01 23:00:00+01:00,1
STA.DE_DEBY089,8.49,2022-04-02 02:00:00+01:00,1
STA.DE_DEBY089,11.16,2022-04-02 03:00:00+01:00,1
STA.DE_DEBY089,10.85,2022-04-02 04:00:00+01:00,1
STA.DE_DEBY089,10.44,2022-04-02 05:00:00+01:00,1
STA.DE_DEBY089,13.45,2022-04-02 06:00:00+01:00,1
STA.DE_DEBY089,15.79,2022-04-02 07:00:00+01:00,1
STA.DE_DEBY089,17.5,2022-04-02 08:00:00+01:00,1
STA.DE_DEBY089,15.17,2022-04-02 09:00:00+01:00,1
STA.DE_DEBY089,14.06,2022-04-02 10:00:00+01:00,1
STA.DE_DEBY089,16.22,2022-04-02 11:00:00+01:00,1
STA.DE_DEBY089,15.14,2022-04-02 12:00:00+01:00,1
STA.DE_DEBY089,11.86,2022-04-02 13:00:00+01:00,1
STA.DE_DEBY089,10.64,2022-04-02 14:00:00+01:00,1
STA.DE_DEBY089,10.49,2022-04-02 15:00:00+01:00,1
STA.DE_DEBY089,8.63,2022-04-02 16:00:00+01:00,1
STA.DE_DEBY089,8.78,2022-04-02 17:00:00+01:00,1
STA.DE_DEBY089,8.67,2022-04-02 18:00:00+01:00,1
STA.DE_DEBY089,9.47,2022-04-02 19:00:00+01:00,1
STA.DE_DEBY089,10.36,2022-04-02 20:00:00+01:00,1
STA.DE_DEBY089,12.2,2022-04-02 21:00:00+01:00,1
STA.DE_DEBY089,12.96,2022-04-02 22:00:00+01:00,1
STA.DE_DEBY089,13.21,2022-04-02 23:00:00+01:00,1
STA.DE_DEBY089,13.04,2022-04-03 00:00:00+01:00,1
STA.DE_DEBY089,13.03,2022-04-03 01:00:00+01:00,1
STA.DE_DEBY089,13.31,2022-04-03 02:00:00+01:00,1
STA.DE_DEBY089,15.06,2022-04-03 03:00:00+01:00,1
STA.DE_DEBY089,15.83,2022-04-03 04:00:00+01:00,1
STA.DE_DEBY089,15.94,2022-04-03 05:00:00+01:00,1
STA.DE_DEBY089,16.66,2022-04-03 06:00:00+01:00,1
STA.DE_DEBY089,14.22,2022-04-03 07:00:00+01:00,1
STA.DE_DEBY089,12.37,2022-04-03 08:00:00+01:00,1
STA.DE_DEBY089,12.55,2022-04-03 09:00:00+01:00,1
