AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBY039,9.56,2022-04-01 00:00:00+01:00,1
STA.DE_DEBY039,5.68,2022-04-01 01:00:00+01:00,1
STA.DE_DEBY039,4.75,2022-04-01 02:00:00+01:00,1
STA.DE_DEBY039,5.3,2022-04-01 03:00:00+01:00,1
STA.DE_DEBY039,3.56,2022-04-01 04:00:00+01:00,1
STA.DE_DEBY039,3.1,2022-04-01 05:00:00+01:00,1
STA.DE_DEBY039,2.53,2022-04-01 06:00:00+01:00,1
STA.DE_DEBY039,2.3,2022-04-01 07:00:00+01:00,1
STA.DE_DEBY039,2.12,2022-04-01 08:00:00+01:00,1
STA.DE_DEBY039,2.06,2022-04-01 09:00:00+01:00,1
STA.DE_DEBY039,2.05,2022-04-01 10:00:00+01:00,1
STA.DE_DEBY039,1.99,2022-04-01 11:00:00+01:00,1
STA.DE_DEBY039,2.74,2022-04-01 12:00:00+01:00,1
STA.DE_DEBY039,2.74,2022-04-01 13:00:00+01:00,1
STA.DE_DEBY039,2.97,2022-04-01 14:00:00+01:00,1
STA.DE_DEBY039,2.84,2022-04-01 15:00:00+01:00,1
STA.DE_DEBY039,2.71,2022-04-01 16:00:00+01:00,1
STA.DE_DEBY039,1.79,2022-04-01 17:00:00+01:00,1
STA.DE_DEBY039,2.5,2022-04-01 18:00:00+01:00,1
STA.DE_DEBY039,3.36,2022-04-01 19:00:00+01:00,1
STA.DE_DEBY039,5.59,2022-04-01 20:00:00+01:00,1
STA.DE_DEBY039,6.6,2022-04-01 21:00:00+01:00,1
STA.DE_DEBY039,5.21,2022-04-02 00:00:00+01:00,1
STA.DE_DEBY039,5.21,2022-04-02 01:00:00+01:00,1
STA.DE_DEBY039,5.43,2022-04-01 22:00:00+01:00,1
STA.DE_DEBY039,3.95,2022-04-01 23:00:00+01:00,1
STA.DE_DEBY039,6.07,2022-04-02 02:00:00+01:00,1
STA.DE_DEBY039,10.93,2022-04-02 03:00:00+01:00,1
STA.DE_DEBY039,10.06,2022-04-02 04:00:00+01:00,1
STA.DE_DEBY039,12.59,2022-04-02 05:00:00+01:00,1
STA.DE_DEBY039,15.77,2022-04-02 06:00:00+01:00,1
STA.DE_DEBY039,17.92,2022-04-02 07:00:00+01:00,1
STA.DE_DEBY039,18.16,2022-04-02 08:00:00+01:00,1
STA.DE_DEBY039,16.6,2022-04-02 09:00:00+01:00,1
STA.DE_DEBY039,14.87,2022-04-02 10:00:00+01:00,1
STA.DE_DEBY039,16.12,2022-04-02 11:00:00+01:00,1
STA.DE_DEBY039,16.61,2022-04-02 12:00:00+01:00,1
STA.DE_DEBY039,14.34,2022-04-02 13:00:00+01:00,1
STA.DE_DEBY039,12.37,2022-04-02 14:00:00+01:00,1
STA.DE_DEBY039,11.17,2022-04-02 15:00:00+01:00,1
STA.DE_DEBY039,9.56,2022-04-02 16:00:00+01:00,1
STA.DE_DEBY039,9.89,2022-04-02 17:00:00+01:00,1
STA.DE_DEBY039,9.41,2022-04-02 18:00:00+01:00,1
STA.DE_DEBY039,10.2,2022-04-02 19:00:00+01:00,1
STA.DE_DEBY039,10.13,2022-04-02 20:00:00+01:00,1
STA.DE_DEBY039,10.96,2022-04-02 21:00:00+01:00,1
STA.DE_DEBY039,12.31,2022-04-02 22:00:00+01:00,1
STA.DE_DEBY039,13.01,2022-04-02 23:00:00+01:00,1
STA.DE_DEBY039,12.78,2022-04-03 00:00:00+01:00,1
STA.DE_DEBY039,13.55,2022-04-03 01:00:00+01:00,1
STA.DE_DEBY039,16.08,2022-04-03 02:00:00+01:00,1
STA.DE_DEBY039,17.09,2022-04-03 03:00:00+01:00,1
STA.DE_DEBY039,15.97,2022-04-03 04:00:00+01:00,1
STA.DE_DEBY039,17.43,2022-04-03 05:00:00+01:00,1
STA.DE_DEBY039,17.51,2022-04-03 06:00:00+01:00,1
STA.DE_DEBY039,14.15,2022-04-03 07:00:00+01:00,1
STA.DE_DEBY039,14.8,2022-04-03 08:00:00+01:00,1
