AirQualityStation,Concentration,DatetimeBegin,Validity
STA.DE_DEBW147,7.6,2022-04-01 00:00:00+01:00,1
STA.DE_DEBW147,9.2,2022-04-01 01:00:00+01:00,1
STA.DE_DEBW147,7.8,2022-04-01 02:00:00+01:00,1
STA.DE_DEBW147,7.9,2022-04-01 03:00:00+01:00,1
STA.DE_DEBW147,14.5,2022-04-01 04:00:00+01:00,1
STA.DE_DEBW147,15.7,2022-04-01 05:00:00+01:00,1
STA.DE_DEBW147,7.5,2022-04-01 06:00:00+01:00,1
STA.DE_DEBW147,8.0,2022-04-01 07:00:00+01:00,1
STA.DE_DEBW147,9.4,2022-04-01 08:00:00+01:00,1
STA.DE_DEBW147,11.0,2022-04-01 09:00:00+01:00,1
STA.DE_DEBW147,11.8,2022-04-01 10:00:00+01:00,1
STA.DE_DEBW147,9.3,2022-04-01 11:00:00+01:00,1
STA.DE_DEBW147,7.9,2022-04-01 12:00:00+01:00,1
STA.DE_DEBW147,5.4,2022-04-01 13:00:00+01:00,1
STA.DE_DEBW147,5.9,2022-04-01 14:00:00+01:00,1
STA.DE_DEBW147,6.1,2022-04-01 15:00:00+01:00,1
STA.DE_DEBW147,7.7,2022-04-01 16:00:00+01:00,1
STA.DE_DEBW147,10.7,2022-04-01 17:00:00+01:00,1
STA.DE_DEBW147,12.8,2022-04-01 18:00:00+01:00,1
STA.DE_DEBW147,14.8,2022-04-01 19:00:00+01:00,1
STA.DE_DEBW147,15.1,2022-04-01 20:00:00+01:00,1
STA.DE_DEBW147,16.3,2022-04-01 21:00:00+01:00,1
STA.DE_DEBW147,15.4,2022-04-02 00:00:00+01:00,1
STA.DE_DEBW147,12.9,2022-04-02 01:00:00+01:00,1
STA.DE_DEBW147,17.6,2022-04-01 22:00:00+01:00,1
STA.DE_DEBW147,17.2,2022-04-01 23:00:00+01:00,1
STA.DE_DEBW147,13.5,2022-04-02 02:00:00+01:00,1
STA.DE_DEBW147,16.6,2022-04-02 03:00:00+01:00,1
STA.DE_DEBW147,17.0,2022-04-02 04:00:00+01:00,1
STA.DE_DEBW147,19.0,2022-04-02 05:00:00+01:00,1
STA.DE_DEBW147,21.7,2022-04-02 06:00:00+01:00,1
STA.DE_DEBW147,15.5,2022-04-02 07:00:00+01:00,1
STA.DE_DEBW147,10.1,2022-04-02 08:00:00+01:00,1
STA.DE_DEBW147,11.5,2022-04-02 09:00:00+01:00,1
STA.DE_DEBW147,11.6,2022-04-02 10:00:00+01:00,1
STA.DE_DEBW147,13.5,2022-04-02 11:00:00+01:00,1
STA.DE_DEBW147,14.0,2022-04-02 12:00:00+01:00,1
STA.DE_DEBW147,14.5,2022-04-02 13:00:00+01:00,1
STA.DE_DEBW147,16.8,2022-04-02 14:00:00+01:00,1
STA.DE_DEBW147,15.8,2022-04-02 15:00:00+01:00,1
STA.DE_DEBW147,15.2,2022-04-02 16:00:00+01:00,1
STA.DE_DEBW147,17.4,2022-04-02 17:00:00+01:00,1
STA.DE_DEBW147,19.9,2022-04-02 18:00:00+01:00,1
STA.DE_DEBW147,20.1,2022-04-02 19:00:00+01:00,1
STA.DE_DEBW147,17.9,2022-04-02 20:00:00+01:00,1
STA.DE_DEBW147,18.3,2022-04-02 21:00:00+01:00,1
STA.DE_DEBW147,15.2,2022-04-02 22:00:00+01:00,1
STA.DE_DEBW147,12.6,2022-04-02 23:00:00+01:00,1
STA.DE_DEBW147,12.2,2022-04-03 00:00:00+01:00,1
STA.DE_DEBW147,11.5,2022-04-03 01:00:00+01:00,1
STA.DE_DEBW147,11.2,2022-04-03 02:00:00+01:00,1
STA.DE_DEBW147,15.3,2022-04-03 03:00:00+01:00,1
STA.DE_DEBW147,14.1,2022-04-03 04:00:00+01:00,1
STA.DE_DEBW147,14.7,2022-04-03 05:00:00+01:00,1
STA.DE_DEBW147,15.9,2022-04-03 06:00:00+01:00,1
STA.DE_DEBW147,15.9,2022-04-03 07:00:00+01:00,1
STA.DE_DEBW147,15.3,2022-04-03 08:00:00+01:00,1
STA.DE_DEBW147,13.7,2022-04-03 09:00:00+01:00,1
STA.DE_DEBW147,12.6,2022-04-03 10:00:00+01:00,1
STA.DE_DEBW147,12.6,2022-04-03 11:00:00+01:00,1
STA.DE_DEBW147,13.1,2022-04-03 12:00:00+01:00,1
STA.DE_DEBW147,14.2,2022-04-03 13:00:00+01:00,1
STA.DE_DEBW147,15.4,2022-04-03 14:00:00+01:00,1
STA.DE_DEBW147,13.5,2022-04-03 15:00:00+01:00,1
STA.DE_DEBW147,14.3,2022-04-03 16:00:00+01:00,1
STA.DE_DEBW147,15.4,2022-04-03 17:00:00+01:00,1
STA.DE_DEBW147,13.4,2022-04-03 18:00:00+01:00,1
STA.DE_DEBW147,17.8,2022-04-03 19:00:00+01:00,1
STA.DE_DEBW147,19.5,2022-04-03 20:00:00+01:00,1
STA.DE_DEBW147,19.8,2022-04-03 21:00:00+01:00,1
STA.DE_DEBW147,17.5,2022-04-03 22:00:00+01:00,1
STA.DE_DEBW147,15.5,2022-04-03 23:00:00+01:00,1
STA.DE_DEBW147,12.9,2022-04-04 00:00:00+01:00,1
STA.DE_DEBW147,12.2,2022-04-04 01:00:00+01:00,1
STA.DE_DEBW147,11.8,2022-04-04 02:00:00+01:00,1
STA.DE_DEBW147,13.2,2022-04-04 03:00:00+01:00,1
STA.DE_DEBW147,17.1,2022-04-04 04:00:00+01:00,1
STA.DE_DEBW147,22.7,2022-04-04 05:00:00+01:00,1
STA.DE_DEBW147,28.0,2022-04-04 06:00:00+01:00,1
STA.DE_DEBW147,28.7,2022-04-04 07:00:00+01:00,1
STA.DE_DEBW147,28.9,2022-04-04 08:00:00+01:00,1
STA.DE_DEBW147,19.7,2022-04-04 09:00:00+01:00,1
STA.DE_DEBW147,13.4,2022-04-04 10:00:00+01:00,1
STA.DE_DEBW147,14.8,2022-04-04 11:00:00+01:00,1
STA.DE_DEBW147,14.7,2022-04-04 12:00:00+01:00,1
STA.DE_DEBW147,13.5,2022-04-04 13:00:00+01:00,1
STA.DE_DEBW147,14.2,2022-04-04 14:00:00+01:00,1
STA.DE_DEBW147,11.6,2022-04-04 15:00:00+01:00,1
STA.DE_DEBW147,15.9,2022-04-04 16:00:00+01:00,1
STA.DE_DEBW147,16.2,2022-04-04 17:00:00+01:00,1
STA.DE_DEBW147,14.7,2022-04-04 18:00:00+01:00,1
STA.DE_DEBW147,14.4,2022-04-04 19:00:00+01:00,1
STA.DE_DEBW147,13.9,2022-04-04 20:00:00+01:00,1
STA.DE_DEBW147,13.1,2022-04-04 21:00:00+01:00,1
STA.DE_DEBW147,13.0,2022-04-04 22:00:00+01:00,1
STA.DE_DEBW147,12.5,2022-04-04 23:00:00+01:00,1
STA.DE_DEBW147,12.6,2022-04-05 00:00:00+01:00,1
STA.DE_DEBW147,12.1,2022-04-05 01:00:00+01:00,1
STA.DE_DEBW147,12.1,2022-04-05 02:00:00+01:00,1
STA.DE_DEBW147,12.2,2022-04-05 03:00:00+01:00,1
STA.DE_DEBW147,12.6,2022-04-05 04:00:00+01:00,1
STA.DE_DEBW147,15.3,2022-04-05 05:00:00+01:00,1
STA.DE_DEBW147,14.2,2022-04-05 06:00:00+01:00,1
STA.DE_DEBW147,19.9,2022-04-05 07:00:00+01:00,1
STA.DE_DEBW147,16.0,2022-04-05 08:00:00+01:00,1
STA.DE_DEBW147,15.8,2022-04-05 09:00:00+01:00,1
STA.DE_DEBW147,10.5,2022-04-05 10:00:00+01:00,1
STA.DE_DEBW147,13.3,2022-04-05 11:00:00+01:00,1
STA.DE_DEBW147,15.9,2022-04-05 12:00:00+01:00,1
STA.DE_DEBW147,10.8,2022-04-05 13:00:00+01:00,1
STA.DE_DEBW147,9.2,2022-04-05 14:00:00+01:00,1
STA.DE_DEBW147,14.0,2022-04-05 15:00:00+01:00,1
STA.DE_DEBW147,16.2,2022-04-05 16:00:00+01:00,1
STA.DE_DEBW147,10.7,2022-04-05 17:00:00+01:00,1
STA.DE_DEBW147,12.1,2022-04-05 18:00:00+01:00,1
STA.DE_DEBW147,12.8,2022-04-05 19:00:00+01:00,1
STA.DE_DEBW147,10.3,2022-04-05 20:00:00+01:00,1
STA.DE_DEBW147,10.3,2022-04-05 21:00:00+01:00,1
STA.DE_DEBW147,11.0,2022-04-05 22:00:00+01:00,1
STA.DE_DEBW147,8.9,2022-04-05 23:00:00+01:00,1
STA.DE_DEBW147,5.9,2022-04-06 00:00:00+01:00,1
STA.DE_DEBW147,7.4,2022-04-06 01:00:00+01:00,1
STA.DE_DEBW147,5.6,2022-04-06 02:00:00+01:00,1
STA.DE_DEBW147,5.8,2022-04-06 03:00:00+01:00,1
STA.DE_DEBW147,7.9,2022-04-06 04:00:00+01:00,1
STA.DE_DEBW147,13.2,2022-04-06 05:00:00+01:00,1
STA.DE_DEBW147,17.6,2022-04-06 06:00:00+01:00,1
STA.DE_DEBW147,13.4,2022-04-06 07:00:00+01:00,1
STA.DE_DEBW147,12.2,2022-04-06 08:00:00+01:00,1
STA.DE_DEBW147,9.6,2022-04-06 09:00:00+01:00,1
STA.DE_DEBW147,7.6,2022-04-06 10:00:00+01:00,1
STA.DE_DEBW147,7.2,2022-04-06 11:00:00+01:00,1
STA.DE_DEBW147,5.5,2022-04-06 12:00:00+01:00,1
STA.DE_DEBW147,5.8,2022-04-06 13:00:00+01:00,1
STA.DE_DEBW147,6.7,2022-04-06 14:00:00+01:00,1
STA.DE_DEBW147,5.6,2022-04-06 15:00:00+01:00,1
STA.DE_DEBW147,5.9,2022-04-06 16:00:00+01:00,1
STA.DE_DEBW147,6.8,2022-04-06 17:00:00+01:00,1
STA.DE_DEBW147,7.6,2022-04-06 18:00:00+01:00,1
STA.DE_DEBW147,6.7,2022-04-06 19:00:00+01:00,1
STA.DE_DEBW147,6.4,2022-04-06 20:00:00+01:00,1
STA.DE_DEBW147,9.8,2022-04-06 21:00:00+01:00,1
STA.DE_DEBW147,5.1,2022-04-06 22:00:00+01:00,1
STA.DE_DEBW147,3.0,2022-04-06 23:00:00+01:00,1
STA.DE_DEBW147,1.9,2022-04-07 00:00:00+01:00,1
STA.DE_DEBW147,2.0,2022-04-07 01:00:00+01:00,1
STA.DE_DEBW147,2.1,2022-04-07 02:00:00+01:00,1
STA.DE_DEBW147,2.1,2022-04-07 03:00:00+01:00,1
STA.DE_DEBW147,1.8,2022-04-07 04:00:00+01:00,1
STA.DE_DEBW147,3.6,2022-04-07 05:00:00+01:00,1
STA.DE_DEBW147,7.1,2022-04-07 06:00:00+01:00,1
STA.DE_DEBW147,9.2,2022-04-07 07:00:00+01:00,1
STA.DE_DEBW147,6.9,2022-04-07 08:00:00+01:00,1
STA.DE_DEBW147,7.1,2022-04-07 09:00:00+01:00,1
STA.DE_DEBW147,7.1,2022-04-07 10:00:00+01:00,1
STA.DE_DEBW147,9.4,2022-04-07 11:00:00+01:00,1
STA.DE_DEBW147,9.4,2022-04-07 12:00:00+01:00,1
STA.DE_DEBW147,7.5,2022-04-07 13:00:00+01:00,1
STA.DE_DEBW147,6.7,2022-04-07 14:00:00+01:00,1
STA.DE_DEBW147,7.2,2022-04-07 15:00:00+01:00,1
STA.DE_DEBW147,9.0,2022-04-07 16:00:00+01:00,1
STA.DE_DEBW147,9.5,2022-04-07 17:00:00+01:00,1
STA.DE_DEBW147,8.6,2022-04-07 18:00:00+01:00,1
STA.DE_DEBW147,3.3,2022-04-07 19:00:00+01:00,1
STA.DE_DEBW147,2.6,2022-04-07 20:00:00+01:00,1
STA.DE_DEBW147,2.8,2022-04-07 21:00:00+01:00,1
STA.DE_DEBW147,3.2,2022-04-07 22:00:00+01:00,1
STA.DE_DEBW147,3.4,2022-04-07 23:00:00+01:00,1
STA.DE_DEBW147,5.7,2022-04-08 00:00:00+01:00,1
STA.DE_DEBW147,5.4,2022-04-08 01:00:00+01:00,1
STA.DE_DEBW147,6.0,2022-04-08 02:00:00+01:00,1
STA.DE_DEBW147,5.7,2022-04-08 03:00:00+01:00,1
STA.DE_DEBW147,6.4,2022-04-08 04:00:00+01:00,1
STA.DE_DEBW147,7.8,2022-04-08 05:00:00+01:00,1
STA.DE_DEBW147,5.5,2022-04-08 06:00:00+01:00,1
STA.DE_DEBW147,5.2,2022-04-08 07:00:00+01:00,1
STA.DE_DEBW147,5.5,2022-04-08 08:00:00+01:00,1
STA.DE_DEBW147,3.7,2022-04-08 09:00:00+01:00,1
STA.DE_DEBW147,4.5,2022-04-08 10:00:00+01:00,1
STA.DE_DEBW147,4.3,2022-04-08 11:00:00+01:00,1
STA.DE_DEBW147,4.9,2022-04-08 12:00:00+01:00,1
STA.DE_DEBW147,5.1,2022-04-08 13:00:00+01:00,1
STA.DE_DEBW147,4.6,2022-04-08 14:00:00+01:00,1
STA.DE_DEBW147,3.8,2022-04-08 15:00:00+01:00,1
STA.DE_DEBW147,3.0,2022-04-08 16:00:00+01:00,1
STA.DE_DEBW147,3.4,2022-04-08 17:00:00+01:00,1
STA.DE_DEBW147,3.4,2022-04-08 18:00:00+01:00,1
STA.DE_DEBW147,5.5,2022-04-08 19:00:00+01:00,1
STA.DE_DEBW147,4.1,2022-04-08 20:00:00+01:00,1
STA.DE_DEBW147,4.0,2022-04-08 21:00:00+01:00,1
STA.DE_DEBW147,4.5,2022-04-08 22:00:00+01:00,1
STA.DE_DEBW147,3.1,2022-04-08 23:00:00+01:00,1
STA.DE_DEBW147,1.1,2022-04-09 00:00:00+01:00,1
STA.DE_DEBW147,0.5,2022-04-09 01:00:00+01:00,1
STA.DE_DEBW147,0.7,2022-04-09 02:00:00+01:00,1
STA.DE_DEBW147,1.3,2022-04-09 03:00:00+01:00,1
STA.DE_DEBW147,2.1,2022-04-09 04:00:00+01:00,1
STA.DE_DEBW147,2.4,2022-04-09 05:00:00+01:00,1
STA.DE_DEBW147,6.3,2022-04-09 06:00:00+01:00,1
STA.DE_DEBW147,9.3,2022-04-09 07:00:00+01:00,1
