AirQualityStation,UnitOfMeasurement,mean
STA.DE_DEHE043,µg/m3,16.567999995
STA.DE_DENW034,µg/m3,23.30666666466667
STA.DE_DESH027,µg/m3,30.22512068635058
STA.DE_DESN001,µg/m3,22.71147413464081
STA.DE_DENI143,µg/m3,25.010562164333336
STA.DE_DERP043,µg/m3,15.786206893448275
STA.DE_DENW064,µg/m3,14.179999997333336
STA.DE_DERP016,µg/m3,13.409829899798272
STA.DE_DENW112,µg/m3,21.61720851333333
STA.DE_DESN092,µg/m3,21.888816352295557
STA.DE_DENW071,µg/m3,17.2474911985044
STA.DE_DEBY093,µg/m3,20.02619371979885
STA.DE_DESN079,µg/m3,21.12450649012987
STA.DE_DEBW042,µg/m3,20.23443328162124
STA.DE_DEHE060,µg/m3,15.351031709007191
STA.DE_DEHE059,µg/m3,22.179964290530847
STA.DE_DEST101,µg/m3,29.61934360433333
STA.DE_DENW065,µg/m3,15.667128024550172
STA.DE_DEBW052,µg/m3,21.52327585823276
STA.DE_DENW207,µg/m3,23.142198272672417
STA.DE_DERP010,µg/m3,22.96666666266667
STA.DE_DESL013,µg/m3,18.00088952294118
STA.DE_DEBW118,µg/m3,26.18868450076923
STA.DE_DEBB048,µg/m3,22.05365853298422
STA.DE_DEST002,µg/m3,19.500531362333334
STA.DE_DENW078,µg/m3,14.486315558616717
STA.DE_DESL010,µg/m3,16.509670011047348
STA.DE_DENW188,µg/m3,24.030352938020087
STA.DE_DESN093,µg/m3,17.601794159846392
STA.DE_DEBW004,µg/m3,19.288793099683907
STA.DE_DEHE134,µg/m3,19.03266389777618
STA.DE_DEMV028,µg/m3,30.81316785850789
STA.DE_DESN104,µg/m3,20.29033333
STA.DE_DETH117,µg/m3,21.61572242826399
STA.DE_DEHB001,µg/m3,19.93938306687231
STA.DE_DEBW122,µg/m3,17.671296293333334
STA.DE_DETH091,µg/m3,28.05185675252994
STA.DE_DEBB060,µg/m3,27.12969870477762
STA.DE_DEST077,µg/m3,20.04969341655123
STA.DE_DENW206,µg/m3,19.58671592252511
STA.DE_DESH056,µg/m3,23.4680215174462
STA.DE_DEHE011,µg/m3,16.729331782855095
STA.DE_DESN024,µg/m3,18.78194683564655
STA.DE_DESH035,µg/m3,24.82519999766667
