AirQualityStation,UnitOfMeasurement,mean
STA.DE_DEBE051,µg/m3,11.78731884057971
STA.DE_DEBY120,µg/m3,16.401979913916787
STA.DE_DEBY119,µg/m3,15.32638450502152
STA.DE_DERP019,µg/m3,12.123927720014926
STA.DE_DERP020,µg/m3,12.567317244279412
STA.DE_DENW136,µg/m3,16.353862266857963
STA.DE_DENI020,µg/m3,10.330457908045975
STA.DE_DEUB029,µg/m3,9.353050847457627
STA.DE_DEUB030,µg/m3,8.712424677187949
STA.DE_DEST029,µg/m3,14.375773021582733
STA.DE_DEBE032,µg/m3,11.60023222060958
STA.DE_DEST015,µg/m3,12.68011772478386
STA.DE_DETH018,µg/m3,11.868329265437591
STA.DE_DEBY037,µg/m3,14.990906474820145
STA.DE_DESN074,µg/m3,9.963622448979592
STA.DE_DENW355,µg/m3,15.289363367799114
STA.DE_DENI062,µg/m3,10.382319598278334
STA.DE_DEBY068,µg/m3,8.987948350071736
STA.DE_DEST044,µg/m3,11.925947751801152
STA.DE_DEBY012,µg/m3,11.450919540229885
STA.DE_DEBW019,µg/m3,13.97173601147776
STA.DE_DEBW024,µg/m3,13.099856115107912
STA.DE_DENI041,µg/m3,11.175374444763271
STA.DE_DEHE037,µg/m3,12.588024582912483
STA.DE_DENW058,µg/m3,17.812826149425288
STA.DE_DEBB021,µg/m3,12.987087517934002
STA.DE_DEST011,µg/m3,13.332160736034732
STA.DE_DESN059,µg/m3,12.080477697841728
STA.DE_DEBE065,µg/m3,18.10538461538461
STA.DE_DESN061,µg/m3,15.673938129496404
STA.DE_DEBW107,µg/m3,12.362553802008607
STA.DE_DEHE049,µg/m3,15.206105156140602
STA.DE_DEHE050,µg/m3,9.754867110731707
STA.DE_DESH023,µg/m3,12.987427338129498
STA.DE_DETH081,µg/m3,15.782208949167863
STA.DE_DEHE051,µg/m3,8.712997615681493
STA.DE_DEBY033,µg/m3,9.505121951219513
STA.DE_DENI029,µg/m3,13.563503209469154
STA.DE_DEBW023,µg/m3,11.600143472022957
STA.DE_DENI063,µg/m3,11.063086385939744
